"Id","Nimi","Ainekset","Valmistusohje","Huomio","Valmistuspvt","Arvio","Ominaisuus","Doshat","Luokka","Vuodenaika","Kasvikset","Kotimaa","Pisteet","Tyyppi","Suosikki","OmaLista","Author"
"1","Vuohenjuusto-Bruschettat","kasviöljyä;8 palaa patonkia;1 valkosipulin kynsi;1 avokado;1/2 sitruunan mehu;3 tomaattia;1/2 pkt (200 g) vuohenjuustoa, esimerkiksi Chevrentine Saint Maure;1 dl lehtipersiljasilppua;suolaa;mustapippuria","Kuumenna paistinpannulla tilkka oljya ja paista siinä patonkiviipaleet rapeiksi. Hiero paistetun leivan pintaan makua valkosipulinkynnestä.;Kuutioi halkaistun avokadon hedelmaliha ja purista paalle sitruunamehu. Poista halkaistuista tomaateista siemenet. Kuutioi tomaatit ja juusto.;Sekoita kasvikset, juusto, persilja ja mausteet. Annostele seos patonkiviipaleille.","testi","","Ei testattu","Maidoton;Gluteiiniton;Munaton","","Lämmin leipä","Koko vuosi","persilja","","0","Iltapalaruoka","0","",""
"3","Lapin Porosalaatti","1/2 (200g) jäävuorisalaatti;1 ruukku rucolasalaattia;2 tomaattia;10 cm:n pala kurkkua;noin 200 g Kainuun juustoleipää;100 g kylmäsavustettua poroa viipaleina;1/2 dl puolukoita;;Kastike:;;2 rkl oljya;2 rkl rosmariini-laventeli-valkoviinietikkaa;1 tl juoksevaa hunajaa;ripaus suolaa;ripaus mustapippuria","Huuhdo ja valuta salaatit. Revi ne laakean vadin pohjalle. Lohko tomaatit, kuutioi kurkku ja leipajuusto. Asettele paloitellut ainekset salaattipedille. Leikkaa poroviipaleet puoliksi ja kiedo ne rullille salaatin paalle. Koristele puolukoilla. Sekoita oljy, etikka, hunaja ja mausteet keskenään ja kaada kastike salaatin paalle.",""," 21.9.2020","Ei testattu","Munaton","","Salaatti (ruokaisa)","Koko vuosi","rucola;rosmariini","","0","Iltapalaruoka","0","",""
"5","Punajuuri-Pekonisalaatti Ja Fetakastike","n. 800 g tuoreita pienehkoja punajuuna;100 g pekonia;1 pieni punasipuli hienonnettuna ;1/2 ruukkua roomansalaattia ;1/4 ruukkua rucolasalaattia;2 rkl kapriksia;;Marinadi:;3/4 dl oliivioljya;1 rkl rosmariini-laventeli-valkoviinietikkaa;2 tl sinappia ;1/2 tl suolaa ;1/4 tl mustapippuria;;Fetakastike:;1 tlk (noin 200 g) fetakuutioita suolaliemessa (Pirkka);noin 1 dl maitoa","Keita pestyt punajuuret juurineen ja kantoineen Reilusti suolalla (1 rkl suolaa/1 I vetta) maustetussa vedessa 45 - 60 minuuttia koon mukaan.;Tarkista kypsyys tikulla. Huuhtele punajuuret nopeasti kylmällä vedella ja kuori. Anna jäähtyä.;;Sekoita marinadia varten öljy, etikka, sinappi, suola ja mustapippuri. Leikkaa jäähtyneet punajuuret ohuiksi viipaleiksi ja lado kulhoon. Kaada marinadi paalle ja anna maustua kylmassa muutaman tunnin ajan, mielellaan yon yli.;;Lado pekonit lautaselle kahden talouspaperiarkin paalle ja peita talouspaperilla. Kuumenna mikroaaltouunissa taysteholla (600 W) ensin nelja minuuttia. Käännä lautasta valilla hieman, jos mikrossa ei ole pyorivää alustaa. Siirra pekonisuikaleet kuivien paperiarkkien väliin ja jatka sitten kypsentamista puolen minuutin erissa, kunnes pekonit ovat rapeita ja rasvattomia.;Voit latoa pekonit myos kylmalle valurautapannulle ja kuumentaa hitaasti, jotta rasva irtoaa ja pekonista tulee rapeata. Käännä tarvittaessa ja varo polttamasta. Kuivaa pekonit talouspaperin välissä ja anna jähtyä.;;Hienonna pekonit ja punasipuli. Tee huuhdotuista ja hyvin valutetuista salaatinlehdista peti laakealle vadille. Lado marinoidut punajuuriviipaleet salaatille ja levita paalle punasipuli, pekoni ja huuhdotut kaprikset.;;Huuhdo juustokuutiot, jauha ne monitoimikoneessa ja lisää vähitellen maito. Anna kastikkeen jäähtyä kylmässä.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","","rucola;rosmariini","","0","Iltapalaruoka","0","",""
"6","Broilerisalaattii Ala Aura","n. 400 g marinoituja broilerifileesuikaleita ;1-2 rlk voita;1 (n. 170 g) AURA kolmiopala;2 paprikaa;1/2 kurkkua;1/2 makeaa melonia, esim. cantaloupe;1 ruukku tai kera rapeaa lehtisalaattia tai eri salaattilajikkeita;;Currykastike;1 prk kermaviilia ;1 rkl sitruunamehua ;1/2 tl sitruunapippuria;1 tl currya;2 tl sokeria","Paista broilerisuikaleet voissa kypsiksi ja jäähdytä. Kuutioi AURA ja paloittele muut ainekset. Revi salaatti. Kokoa ainekset kerroksittain salaattivadille tai kulhoon. Sekoita kastike ja tarjoa salaatin kanssa.",""," 1.5.2020","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","Koko vuosi","","","0","Iltapalaruoka","0","",""
"7","Perunasalaatti (Lämmin)","8-10 perunaa;170 g pekoniviipaleita;1/2 purjoa;1 varsisellerin varsi;;Kastike;2 rkl silputtua tilliä;1/2 dl öljyä;2 rkl valkoviinietikkaa;2 rkl fariinisokeria;1 tl mietoa sinappia;1/2 tl suolaa;1 tl rouhittua mustapippuria","Keitä perunat kypsiksi ja kuori ne. Leikkaa perunat paksuiksi viipaleiksi ja pidä ne lampimina. Paista pannulla pieneksi kuutioitu pekoni. Lisää suikaloitu purjo ja sellerinvarsi ja kuullota ne pannulla pehmeiksi. Sekoita kastikeainekset keskenään. Lisää pekonipurjoseos ja kastike perunoiden joukkoon. Tarjoa heti esimerkiksi raikkaan salaatin kanssa alku- tai pääruokana.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Kesä","tilli","","0","Lisäkeruoka","0","",""
"8","Ruokaisa Broileri-Perunasalaatti","5 - 6 kpl (noin 600 g) kiinteitä perunoita;1 pkt (noin 350 g) hunaja-rnarinoituja broilerinfileepihvejä;1 punasipuli;1 tlk fetajuustokuutioita;6 aurinkokuivattua tomaattia ;ripaus mustapippuria ;1 ruukku jääsalaattia;1 ruukku rucolasalaattia;2 tomaattia;;Kastike:;2 rkl aurinkokuivattujentomaattien oljya;1 rkl valkosipuli-valkoviinietikkaa","Pese, kuori ja keitä perunat kypsiksi. Kypsennä broilerinfileepihveja 200-asteisessa uunissa noin 20 minuuttia. Kuori ja viipaloi punasipuli. Leikkaa kuumat perunat isoiksi kuutioiksi ja siirra ne kulhoon.;;Valmista kastike: sekoita aurinkokuivattujen tomaattien öljy ja valkosipuli-valkoviinietikka keskenään ja kaada perunoiden päälle. Lisaa perunoiden joukkoon valutetut fetajuustokuutiot ja suikaloidut aurinkokuivatut tomaatit, mausta salaatti ripauksella mustapippuria. Anna marinoitua hetki.;;Huuhdo ja valuta salaatit hyvin. Revi jääsalaatti ja levitä se vadin reunoille. Kaada perunaseos vadin keskelle. Viipaloi broilerinfileepihvit ja nosta viipaleet salaatin paalle. Asettele punasipulirenkaat, viipaloidut tomaatit ja rucolasalaatti vadille. Tarjoa lisaksi tuoretta leipää.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","","rucola","","0","Iltapalaruoka","0","",""
"9","Amerikan Tädin Perunasalaatti","800 g uusia perunoita;5-6 munaa;1 nippu (200 g) kevätsipulia;;Kastike;1 dl kevytmajoneesia;1 dl kermaviilia;1 1/2 rkl sinappia;2 tl viherpippuria ;1/4-1/2tl suolaa;2 valkosipulinkynttä;;Koristeeksi;kananmunalohkoja;sipulinvarsia","Pese perunat ja keita ne kypsiksi suolalla maustetussa, vähässä vedessä. Keitä kananmunat koviksi eli noin 10 minuuttia. Huuhdo sipulit. Viipaloi sipulien valkoinen osa ja leikkaa mukaan myos puolet varsista. Kuutioi isot perunat ja halkaise pienet. Lohko kuoritut munat ja leikkaa lohkot viela puoliksi. (Jätä osa kokonaisista lohkoista koristelua varten.) Pane salaattiainekset kulhoon.;;Sekoita kastiketta varten kevytmajoneesi, kermaviili, sinappi, murskatut viherpippurit, suola ja hienonnetut valkosipulinkynnet keskenaan. Kaada kastike salaatin paalle. Sekoita varovasti.;;Anna maustua viileässä vähintaan 12 tuntia. Koristele kananmunanlohkoilla ja sipulinvarsilla. Tarjoa chillisten broilerikebakkojen kanssa.","","","Ei testattu","Gluteiiniton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Koko vuosi","","","0","Lisäkeruoka","0","",""
"10","Sadonkorjaajan Salaatti","3 keitettya perunaa ;2 keitettya porkkanaa ;1 pss (200 g) herneitä ;2 omenaa ;2 maustekurkkua ;200 g leikkelemakkaraa;;Kastike;1 prk Kermaviiliä;2 rkl sitruunamehua;1/2 tl suolaa;2 tl sokeria;1/2 tl rouhittua mustapippuria;1 tl paprikajauhetta;1/2 dl hienonnettua ruohosipulia tai persiljaa","Keitä perunat  ja  porkkanat  kypsiksi. Kuutioi kasvikset, omenat, maustekurkku ja leikkelemakkara pieniksi kuutioiksi. Lisää sulaneet herneet joukkoon. Sekoita kastikkeen ainekset keskenaan ja lisää salaattiin. Voit tarjota kastikkeen myos erikseen. Anna maustua jääkaapissa muutama tunti ennen tarjoilua.","","27.4.2020 27.4.2020","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","Koko vuosi","ruohosipuli;persilja","","0","Iltapalaruoka","0","",""
"11","Italiansalaatti","2 dl makaroneja esimerkiksi perhosia, simpukoita, sarvimakaroneja;1 ps (200 g) herne-maissi-porkkanasekoitusta;2 omenaa;1 maustekurkku;100 g tuoretta kurkkua;150 g savukinkkua (viipaleina);;Kastike;1 dl kevytmajoneesia;2 dl kermaviilia;1 tl aromisuolaa;1 tl vahvaa sinappia","Kypsennä makaronit pakkauksen ohjeen mukaan ja huuhtele ne kylmalla vedella lavikossa tai anna jäähtyä valutettuina. Sulata hernemaissiporkkanaseos. Kuori ja suikaloi omenat. Suikaloi kurkut ja savukinkku. Sekoita kastikkeaineet. Sekoita salaatin aineet keskenään ja lisää joukkoon kastike. Pane salaatti tarjoilukulhoon ja ripottele pinnalle persiljaa.","","21.7.2004;18.5.2005","Hyvä","Munaton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
"12","Iltapalasalaatti","kypsää spagettia;meetwurstia;maustekurkkua;herneitä;omenaa;purjoa;;Kastike;1 keltuainen;2 tl vahvaa sinappia;2 rkl omenaviinietikkaa;ripaus suolaa;1/4 tl rouhittua mustapippuria ;1 dl rypsioljyä;","Sekoita keltuaiseen sinappi, etikka ja mausteet. Lisaa öljy vahitellen ohuena nauhana koko ajan vatkaten. Kastike on sakeaa, voit sekoittaa sen salaattiin sellaisenaan tai hieman vaalealla mehulla ohennettuna.","","","Hyvä","Laktoositon;Maidoton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
